"","gender","age","region","subjectID","experimentName","item","verbtype","complementizer","prosody","naturalness","veridicality","comment"
"166","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","alanae","go","MV",3,4,""
"167","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","gieok","go","MV",7,3,""
"168","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","al","jul1","MV",5,2,""
"169","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","ggameok","jul1","EV",1,6,""
"170","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","alanae","jul1","MV",3,6,""
"171","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","gieok","jul1","EV",2,2,""
"172","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","gieok","jul1","MV",5,6,""
"173","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","moreu","go","ES",2,5,""
"174","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","gieok","go","ES",7,1,""
"175","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","mit","jul1","MV",3,3,""
"176","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","alanae","jul1","ES",3,6,""
"177","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","ggameok","go","MV",1,5,""
"178","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","mit","go","EV",6,3,""
"179","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","moreu","go","MV",1,6,""
"180","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","mit","go","MV",6,2,""
"181","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","al","go","ES",6,2,""
"182","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","mit","jul1","ES",5,3,""
"183","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","moreu","jul1","MV",2,6,""
"184","F","20s","nonUS",8.41e+13,"veridicality-pilot2","marry","ggameok","go","ES",1,6,""
"185","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","al","jul1","EV",7,1,""
"186","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","alanae","go","EV",3,5,""
"187","F","20s","nonUS",8.41e+13,"veridicality-pilot2","come","ggameok","jul1","MV",2,7,""
"188","F","20s","nonUS",8.41e+13,"veridicality-pilot2","painter","moreu","jul1","EV",7,7,""
"189","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","al","go","MV",1,3,""
"190","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","al","go","EV",4,6,""
"191","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","mit","go","ES",6,6,""
"192","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","mit","jul1","EV",1,3,""
"193","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","alanae","go","ES",6,6,""
"194","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","alanae","jul1","MV",6,6,""
"195","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","ggameok","jul1","MV",2,6,""
"196","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","moreu","go","MV",1,1,""
"197","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","moreu","jul1","ES",6,1,""
"198","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","mit","jul1","MV",5,5,""
"199","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","mit","go","MV",6,6,""
"200","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","al","jul1","MV",6,6,""
"201","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","gieok","jul1","MV",2,6,""
"202","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","moreu","go","EV",1,1,""
"203","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","gieok","go","EV",6,6,""
"204","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","ggameok","go","EV",1,1,""
"205","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","ggameok","jul1","ES",6,6,""
"206","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","ggameok","go","MV",1,6,""
"207","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","gieok","jul1","ES",6,6,""
"208","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","gieok","go","MV",2,6,""
"209","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","alanae","go","MV",2,6,""
"210","F","30s","nonUS",6.66e+14,"veridicality-pilot2","come","al","jul1","ES",6,6,""
"211","F","30s","nonUS",6.66e+14,"veridicality-pilot2","painter","moreu","jul1","MV",6,1,""
"212","F","30s","nonUS",6.66e+14,"veridicality-pilot2","marry","alanae","jul1","EV",1,1,""
"213","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","al","jul2","ES",4,5,""
"214","M","30s","MA",5.23e+14,"veridicality-pilot2","come","mit","jul2","EV",5,5,""
"215","M","30s","MA",5.23e+14,"veridicality-pilot2","come","alanae","jul2","EV",3,4,""
"216","M","30s","MA",5.23e+14,"veridicality-pilot2","painter","moreu","jul2","ES",5,5,""
